timestamp,headingDeg,encCountR,encCountL,wL,wF,wR
1789542397.5634089,9.83,-3181,2019,2865,2916,2230
1789542397.5841963,10.44,-3188,2019,2864,2915,2228
1789542397.605046,11.09,-3196,2019,2864,2915,2228
1789542397.625346,11.65,-3203,2019,2864,2915,2228
1789542397.6467514,12.22,-3211,2019,2865,2916,2225
1789542397.6666725,12.77,-3219,2019,2864,2915,2227
1789542397.683729,13.47,-3226,2019,2864,2914,2226
1789542397.70812,14.04,-3234,2019,2864,2915,2229
1789542397.7290292,14.56,-3242,2019,2865,2914,2222
1789542397.7493143,15.18,-3250,2019,2864,2915,2221
1789542397.7702162,15.74,-3258,2019,2864,2915,2222
1789542397.7858257,16.38,-3266,2019,2863,2915,2220
1789542397.8063855,17.01,-3275,2019,2865,2915,2220
1789542397.8300562,17.59,-3283,2019,2864,2916,2219
1789542397.8480484,18.15,-3292,2019,2865,2915,2218
1789542397.8726132,18.80,-3301,2019,2864,2914,2219
1789542397.8897665,19.50,-3310,2019,2864,2914,2220
1789542397.9136631,20.16,-3319,2019,2866,2914,2220
1789542397.931295,20.83,-3328,2019,2865,2916,2219
1789542397.954657,21.49,-3338,2019,2863,2914,2218
1789542397.973043,22.32,-3347,2019,2864,2917,2219
1789542397.9958243,23.06,-3356,2019,2864,2914,2219
1789542398.0146906,23.78,-3366,2019,2865,2915,2219
1789542398.0354018,24.49,-3376,2019,2864,2914,2217
1789542398.0563972,25.18,-3386,2019,2864,2915,2215
1789542398.0781841,25.99,-3397,2019,2864,2917,2217
1789542398.0988019,26.68,-3407,2019,2864,2915,2217
1789542398.1188502,27.36,-3418,2019,2864,2914,2214
1789542398.139441,28.16,-3429,2019,2864,2913,2217
1789542398.1596622,28.91,-3440,2019,2864,2914,2215
1789542398.1811924,29.59,-3451,2019,2866,2915,2215
1789542398.2013376,30.28,-3463,2019,2865,2914,2215
1789542398.222687,30.98,-3474,2019,2864,2914,2216
1789542398.2429345,31.75,-3485,2019,2865,2913,2213
1789542398.257656,32.52,-3497,2019,2865,2913,2212
1789542398.2836509,33.24,-3509,2019,2864,2915,2212
1789542398.3017058,34.05,-3520,2019,2864,2914,2212
1789542398.3201263,34.73,-3532,2019,2864,2914,2213
1789542398.3447132,35.52,-3544,2019,2865,2914,2210
1789542398.3618894,36.17,-3556,2019,2864,2914,2212
1789542398.386108,37.01,-3569,2019,2865,2914,2211
1789542398.4036815,37.73,-3581,2019,2865,2914,2212
1789542398.4243162,38.52,-3593,2019,2864,2914,2211
1789542398.444295,39.34,-3606,2019,2865,2914,2212
1789542398.4672832,40.22,-3618,2019,2868,2915,2210
1789542398.4888704,41.12,-3631,2019,2864,2915,2212
1789542398.507623,41.99,-3644,2019,2864,2915,2214
1789542398.5284286,42.96,-3657,2019,2864,2915,2210
1789542398.5492702,43.79,-3670,2019,2864,2915,2208
1789542398.5700943,44.77,-3683,2019,2864,2916,2208
1789542398.591562,45.66,-3696,2019,2866,2914,2207
1789542398.6117196,46.71,-3709,2019,2864,2914,2204
1789542398.6325426,47.71,-3723,2019,2863,2917,2205
1789542398.6531339,48.66,-3736,2019,2865,2915,2206
1789542398.6733787,49.64,-3750,2019,2865,2916,2205
1789542398.6942775,50.66,-3764,2019,2864,2915,2204
1789542398.7148147,51.47,-3778,2019,2864,2916,2202
1789542398.7357588,52.40,-3792,2019,2865,2915,2201
1789542398.7555537,53.30,-3807,2019,2864,2915,2203
1789542398.7765484,54.10,-3821,2019,2865,2915,2197
1789542398.7969315,55.00,-3835,2019,2864,2915,2199
1789542398.8133132,55.87,-3849,2019,2864,2915,2198
1789542398.838353,56.76,-3863,2019,2865,2915,2198
1789542398.8549166,57.54,-3877,2019,2864,2915,2197
1789542398.879179,58.43,-3890,2019,2865,2914,2196
1789542398.8963897,59.33,-3904,2019,2865,2914,2197
1789542398.9186554,60.36,-3918,2019,2864,2915,2195
1789542398.938171,61.26,-3932,2019,2864,2913,2197
1789542398.961718,62.23,-3946,2019,2864,2915,2196
1789542398.9796531,63.19,-3960,2019,2864,2915,2197
1789542399.002329,64.16,-3974,2019,2864,2915,2195
1789542399.021712,65.03,-3988,2019,2864,2915,2195
1789542399.0423183,65.81,-4002,2019,2865,2916,2194
1789542399.0641706,66.68,-4016,2019,2864,2916,2194
1789542399.083911,67.54,-4030,2019,2864,2916,2193
1789542399.1053236,68.33,-4044,2019,2864,2916,2194
1789542399.126313,69.11,-4058,2019,2865,2915,2194
1789542399.1464005,69.95,-4072,2019,2865,2916,2194
1789542399.1671762,70.78,-4086,2019,2865,2916,2193
1789542399.1871989,71.74,-4100,2019,2864,2915,2192
1789542399.2078605,72.62,-4113,2019,2865,2915,2192
1789542399.2286685,73.40,-4127,2019,2866,2916,2190
1789542399.249516,74.24,-4141,2019,2865,2915,2187
1789542399.2664557,75.09,-4154,2019,2864,2915,2186
1789542399.2899337,75.98,-4168,2019,2865,2915,2187
1789542399.30624,76.89,-4181,2019,2865,2916,2184
1789542399.3311005,77.85,-4194,2019,2865,2909,2187
1789542399.3503604,78.70,-4207,2019,2864,2917,2180
1789542399.3722239,79.61,-4221,2019,2864,2915,2184
1789542399.3893917,80.44,-4234,2019,2865,2915,2184
1789542399.412814,81.30,-4247,2019,2865,2912,2183
1789542399.4315648,82.04,-4260,2019,2864,2915,2182
1789542399.454786,82.75,-4273,2019,2864,2916,2180
1789542399.4749324,83.60,-4285,2019,2860,2916,2181
1789542399.4935296,84.26,-4298,2019,2864,2915,2178
1789542399.5144906,84.95,-4310,2019,2864,2915,2178
1789542399.5352101,85.56,-4321,2019,2865,2915,2177
1789542399.5560882,86.24,-4332,2019,2863,2915,2171
1789542399.5768988,86.82,-4343,2019,2861,2916,2173
1789542399.5977407,87.50,-4354,2019,2864,2914,2173
1789542399.6185658,88.06,-4364,2019,2864,2917,2172
1789542399.6393197,88.70,-4374,2019,2864,2916,2174
1789542399.6602652,89.41,-4383,2019,2875,2916,2173
1789542399.6802135,90.06,-4393,2019,2877,2916,2171
1789542399.7013922,90.60,-4403,2019,2874,2916,2171
1789542399.72167,91.32,-4412,2019,2876,2916,2168
1789542399.7418978,91.79,-4421,2019,2876,2918,2168
1789542399.759134,92.29,-4430,2019,2875,2916,2165
1789542399.782965,92.69,-4438,2019,2876,2914,2161
1789542399.8033924,92.80,-4446,2019,2876,2917,2157
1789542399.824047,93.06,-4453,2019,2876,2916,2151
1789542399.8446589,93.31,-4458,2019,2876,2920,2150
1789542399.8617234,93.46,-4461,2019,2876,2920,2146
1789542399.8856833,93.53,-4462,2019,2875,2917,2139
1789542399.9031837,93.53,-4463,2019,2876,2916,2135
1789542399.9268403,93.53,-4463,2019,2875,2914,2130
1789542399.9448297,93.51,-4463,2019,2876,2915,2129
1789542399.9680412,93.50,-4463,2019,2876,2916,2128
1789542399.9866235,93.49,-4463,2019,2876,2918,2127
1789542400.0073037,93.47,-4463,2019,2876,2917,2127
1789542400.028095,93.45,-4463,2019,2865,2916,2128
1789542400.0490298,93.43,-4463,2019,2864,2915,2127
1789542400.0701492,93.41,-4463,2019,2865,2916,2127
1789542400.0912008,93.39,-4463,2019,2864,2915,2127
1789542400.1115649,93.37,-4463,2019,2852,2915,2126
1789542400.1323164,93.35,-4463,2019,2852,2914,2126
1789542400.1531525,93.34,-4463,2019,2852,2915,2127
1789542400.1734145,93.32,-4463,2019,2852,2914,2125
1789542400.1939409,93.31,-4463,2019,2852,2915,2125
1789542400.2152362,93.29,-4463,2019,2853,2915,2128
1789542400.2354286,93.27,-4463,2019,2852,2914,2125
1789542400.2554233,93.26,-4463,2019,2854,2915,2127
1789542400.2710698,93.25,-4463,2019,2853,2915,2129
1789542400.2967553,93.25,-4463,2019,2852,2914,2128
1789542400.3128626,93.24,-4463,2019,2853,2914,2123
1789542400.3372455,93.23,-4463,2019,2847,2915,2123
1789542400.358144,93.22,-4463,2019,2853,2915,2124
1789542400.375346,93.21,-4463,2019,2855,2914,2123
1789542400.399292,93.19,-4463,2019,2842,2916,2125
