timestamp,whiskerL,whiskerF,whiskerR
1789539147.6153052,3832,2353,2556
1789539147.6586218,3611,2352,2555
1789539147.7002711,3439,2352,2556
1789539147.7654452,3305,2352,2556
1789539147.8104737,3219,2351,2555
1789539147.853044,3108,2353,2556
1789539147.915496,3047,2354,2556
1789539147.9643269,2999,2352,2558
1789539148.0158358,2938,2352,2556
1789539148.0605214,2937,2352,2557
1789539148.1025324,2876,2352,2555
1789539148.1660492,2841,2354,2557
1789539148.2132077,2837,2355,2556
1789539148.266029,2840,2353,2555
1789539148.316247,2791,2352,2556
1789539148.3657496,2584,2352,2555
1789539148.4014468,2546,2353,2556
1789539148.4664452,2547,2353,2554
1789539148.5113513,2546,2353,2555
1789539148.566728,2543,2352,2555
1789539148.6159544,2545,2352,2556
1789539148.6654184,2547,2351,2556
1789539148.707004,2546,2352,2556
1789539148.763368,2546,2353,2555
1789539148.8105412,2548,2355,2556
1789539148.8520691,2550,2353,2555
1789539148.9145613,2547,2347,2555
1789539148.9567704,2546,2351,2556
1789539149.0170996,2547,2352,2556
1789539149.0667863,2547,2354,2556
1789539149.1096857,2546,2353,2556
1789539149.1660464,2547,2352,2556
1789539149.213887,2546,2352,2556
1789539149.2639785,2547,2353,2555
1789539149.3167276,2546,2354,2556
1789539149.3520324,2546,2353,2559
1789539149.4152465,2546,2353,2558
1789539149.4568527,2546,2350,2556
1789539149.5146303,2546,2353,2556
1789539149.5677075,2547,2351,2556
1789539149.6095665,2546,2352,2556
1789539149.667841,2547,2353,2556
1789539149.7137792,2548,2352,2555
1789539149.755365,2546,2352,2556
1789539149.817908,2547,2353,2556
1789539149.8593507,2547,2352,2556
1789539149.9177144,2546,2348,2556
1789539149.9628534,2546,2353,2555
1789539150.0123475,2547,2352,2557
1789539150.0534046,2547,2349,2554
1789539150.1185064,2547,2353,2555
1789539150.1643538,2547,2351,2556
1789539150.212958,2547,2353,2558
1789539150.2552705,2546,2352,2557
1789539150.3180315,2546,2353,2557
1789539150.3664277,2546,2352,2556
1789539150.4172232,2546,2352,2556
1789539150.462336,2547,2353,2556
1789539150.5050526,2542,2352,2555
1789539150.5690143,2546,2355,2556
1789539150.6154547,2547,2353,2557
1789539150.6572726,2546,2352,2556
1789539150.7197585,2547,2352,2556
1789539150.7690244,2546,2352,2556
1789539150.8038464,2546,2353,2555
1789539150.8694494,2546,2352,2556
1789539150.9194922,2547,2353,2555
1789539150.9558096,2547,2353,2556
1789539151.0190935,2547,2353,2555
1789539151.0607448,2542,2352,2556
1789539151.1184478,2547,2352,2555
1789539151.164886,2547,2352,2555
1789539151.2057273,2546,2352,2556
1789539151.2687993,2547,2352,2556
1789539151.3098438,4089,2353,2556
1789539151.367001,4088,2353,2555
1789539151.4070718,4088,2354,2555
1789539151.4696813,4089,2353,2556
1789539151.5180376,4089,2353,2555
1789539151.560644,4089,2353,2556
1789539151.6194193,4089,2352,2556
1789539151.6698973,4089,2353,2556
1789539151.7055705,4088,2352,2555
1789539151.7611063,4088,2352,2556
1789539151.81914,4088,2354,2556
1789539151.8701153,4087,2353,2555
1789539151.9138427,4089,2352,2556
1789539151.9554214,4089,2354,2555
1789539152.010986,4088,2353,2556
1789539152.0677133,4088,2354,2556
1789539152.1082468,4088,2352,2555
1789539152.1706467,4089,2354,2557
1789539152.2123663,4088,2353,2555
1789539152.2698915,4089,2353,2556
1789539152.3103232,4088,2353,2556
1789539152.367541,4089,2352,2556
1789539152.4206986,4089,2351,2555
1789539152.469274,4089,2352,2556
1789539152.5109107,4088,2351,2556
1789539152.571323,4089,2351,2556
1789539152.6150815,4088,2348,2556
1789539152.656742,4088,2352,2556
1789539152.7211764,4088,2353,2556
1789539152.7678053,4089,2353,2556
1789539152.8119152,4088,2353,2555
1789539152.871818,4089,2352,2556
1789539152.9205902,4088,2353,2556
1789539152.9622407,4090,2354,2556
1789539153.019955,4089,2353,2556
1789539153.0663888,4088,2353,2556
1789539153.1146798,4087,2353,2557
1789539153.1565802,4089,2353,2556
1789539153.219218,4088,2352,2555
1789539153.2700782,4088,2352,2556
1789539153.3223095,4088,2352,2554
1789539153.3580065,4089,2351,2556
1789539153.4204793,3929,2353,2558
1789539153.4621174,3561,2352,2551
1789539153.5196605,3341,2352,2556
1789539153.5663083,3219,2352,2554
1789539153.6079407,3059,2352,2557
1789539153.6704016,2913,2353,2557
1789539153.7227275,2865,2352,2556
1789539153.769583,2867,2351,2556
1789539153.819279,2767,2353,2556
1789539153.857906,2560,2352,2556
1789539153.9203959,2547,2351,2556
1789539153.9620383,2545,2351,2557
1789539154.0235467,2547,2352,2555
1789539154.0592144,2547,2354,2556
1789539154.1217754,2546,2353,2556
1789539154.1630905,2547,2353,2556
1789539154.2210736,2547,2352,2556
1789539154.2675338,2547,2352,2555
1789539154.3227932,2547,2352,2557
1789539154.373629,2546,2353,2555
1789539154.4202578,2546,2353,2556
1789539154.4619293,2546,2352,2557
1789539154.5241487,2546,2352,2557
1789539154.5737236,2546,2352,2558
1789539154.614627,2546,2352,2555
1789539154.6740577,2546,2353,2556
1789539154.7188153,2546,2353,2554
1789539154.7674212,2547,2353,2556
1789539154.823978,2546,2352,2557
1789539154.8715086,2546,2351,2556
1789539154.9131885,2547,2353,2556
1789539154.9687257,2547,2353,2557
1789539155.0103636,2546,2351,2555
1789539155.0664184,2546,2351,2554
1789539155.1240697,2546,2353,2555
1789539155.1749058,2545,2353,2556
1789539155.2196472,2546,2355,2556
1789539155.2681777,2743,2352,2557
1789539155.3250122,4090,2352,2555
1789539155.3723938,4089,2355,2556
1789539155.4133213,4089,2353,2556
1789539155.475793,4089,2352,2556
1789539155.5250933,4088,2353,2555
1789539155.566798,4088,2352,2557
1789539155.624551,4089,2352,2556
1789539155.6700997,4090,2352,2555
1789539155.7121344,4088,2353,2556
1789539155.7741852,4088,2352,2556
1789539155.815464,4089,2353,2558
1789539155.871493,4089,2353,2556
1789539155.9132743,4088,2352,2556
1789539155.9751527,4088,2351,2555
1789539156.0179634,4089,2352,2557
1789539156.0758057,4089,2352,2556
1789539156.1261168,4089,2353,2556
1789539156.170786,4088,2352,2555
1789539156.2117789,4089,2353,2555
1789539156.274976,4089,2353,2556
1789539156.32361,4089,2353,2556
1789539156.3644707,4090,2352,2555
1789539156.4270003,4088,2352,2556
1789539156.4755478,4089,2351,2553
1789539156.5170355,4089,2355,2556
1789539156.5665646,4088,2352,2555
1789539156.6243248,4089,2352,2556
1789539156.676402,4089,2352,2556
1789539156.711796,4089,2351,2555
1789539156.7765045,4088,2353,2558
1789539156.8269727,4089,2352,2556
1789539156.8707664,4088,2352,2556
1789539156.9136887,4088,2353,2555
1789539156.976584,4088,2352,2556
1789539157.0241816,4088,2353,2559
1789539157.0658236,4040,2348,2556
1789539157.1272705,3807,2351,2556
1789539157.1774085,3476,2352,2556
1789539157.2191675,3145,2352,2556
1789539157.27696,2938,2353,2556
1789539157.3234048,2840,2352,2556
1789539157.3713615,2840,2353,2556
1789539157.4176755,2840,2352,2557
1789539157.476147,2767,2353,2556
1789539157.5177348,2755,2353,2555
1789539157.575553,2766,2353,2556
1789539157.6276085,2755,2352,2556
1789539157.6697605,2766,2351,2557
1789539157.727593,2755,2355,2556
1789539157.7780287,2766,2353,2556
1789539157.8232465,2755,2352,2556
1789539157.8775487,2754,2353,2556
1789539157.9205072,2755,2352,2556
1789539157.977266,2766,2353,2556
1789539158.02459,2755,2353,2556
1789539158.0655308,2766,2353,2556
1789539158.127984,2755,2355,2559
1789539158.1773982,2755,2351,2556
1789539158.2230887,2766,2352,2556
1789539158.276105,2767,2352,2556
1789539158.328843,2754,2353,2556
1789539158.3710341,2755,2353,2556
1789539158.428207,2755,2353,2558
1789539158.4682791,2755,2352,2556
1789539158.5267596,2767,2353,2556
1789539158.5788045,2756,2353,2556
1789539158.6263983,4090,2353,2556
1789539158.679376,4089,2351,2556
1789539158.7294157,4089,2352,2556
1789539158.7776835,4087,2352,2557
1789539158.8277557,4088,2353,2555
1789539158.8795676,4088,2353,2555
1789539158.920263,4089,2352,2555
1789539158.9689338,4089,2352,2556
1789539159.029779,4089,2353,2555
1789539159.07235,4089,2352,2556
1789539159.1299584,4088,2352,2556
1789539159.1799407,4089,2351,2555
1789539159.2301812,4089,2352,2556
1789539159.2674613,4089,2353,2556
1789539159.329129,4088,2352,2556
1789539159.378567,4090,2353,2555
1789539159.4298122,4089,2353,2556
1789539159.4678488,4088,2353,2556
1789539159.5300143,4089,2347,2556
1789539159.5721908,4089,2352,2555
1789539159.6305332,4088,2354,2556
1789539159.6806266,4089,2352,2555
1789539159.7299733,4088,2352,2556
1789539159.7735593,4089,2351,2556
1789539159.815252,4089,2352,2552
1789539159.8808377,4088,2352,2556
1789539159.9270287,4089,2353,2551
1789539159.9686983,4088,2352,2556
1789539160.0310335,4088,2352,2556
1789539160.0719647,4089,2352,2556
1789539160.1305604,4089,2353,2556
1789539160.1813662,4090,2352,2556
1789539160.225535,4089,2348,2556
1789539160.2664964,4088,2352,2555
1789539160.3295116,4089,2352,2556
1789539160.3778138,4088,2352,2556
1789539160.4191153,4088,2353,2555
1789539160.4816456,4088,2352,2556
1789539160.523196,4088,2352,2556
1789539160.5817494,4088,2351,2555
1789539160.6282682,4089,2352,2555
1789539160.6791294,3673,2352,2556
1789539160.7311811,2901,2353,2554
1789539160.773355,2632,2353,2557
1789539160.831137,2546,2353,2555
1789539160.8820875,2546,2352,2556
1789539160.932144,2546,2355,2556
1789539160.9822116,2546,2352,2555
1789539161.024079,2560,2352,2556
1789539161.0802932,2550,2351,2556
1789539161.1273313,2547,2351,2551
1789539161.1768475,2560,2352,2556
1789539161.217715,2560,2354,2555
1789539161.2807405,2561,2351,2555
1789539161.3224962,2560,2351,2556
1789539161.3796847,2562,2353,2556
1789539161.4324148,2547,2353,2556
1789539161.4828875,2561,2354,2556
1789539161.523246,2560,2352,2555
1789539161.5821085,2560,2353,2555
1789539161.628095,2558,2353,2556
1789539161.669796,2560,2352,2555
1789539161.7331624,2547,2353,2556
1789539161.7799745,2560,2352,2554
1789539161.822182,2561,2353,2555
1789539161.8823912,2561,2352,2555
1789539161.9327526,2560,2353,2556
1789539161.9752533,2562,2352,2555
1789539162.0330179,2560,2352,2555
1789539162.07871,2559,2353,2556
1789539162.1275775,2559,2353,2555
1789539162.178616,2560,2352,2555
1789539162.233854,2559,2352,2555
1789539162.2803848,2561,2353,2556
1789539162.32181,3194,2353,2556
1789539162.3836076,4088,2352,2556
