timestamp,rawL,rawR
1786722561.8750622,706,188
1786722561.9174988,706,188
1786722561.975955,706,189
1786722562.0251224,707,187
1786722562.0758967,707,188
1786722562.1259992,707,188
1786722562.1759534,707,188
1786722562.2259061,707,188
1786722562.2756402,707,188
1786722562.325968,707,189
1786722562.3757186,707,193
1786722562.4258876,707,188
1786722562.4754522,707,189
1786722562.5260727,706,189
1786722562.5762372,707,189
1786722562.6258528,707,190
1786722562.6760502,707,193
1786722562.7262945,707,190
1786722562.775887,707,193
1786722562.820154,707,193
1786722562.8762765,707,194
1786722562.9264846,707,193
1786722562.9763787,707,194
1786722563.022446,707,195
1786722563.0703902,707,194
1786722563.1119204,707,195
1786722563.1744406,707,196
1786722563.2161777,706,198
1786722563.2764783,707,198
1786722563.3265014,707,198
1786722563.3761961,706,198
1786722563.4247916,707,200
1786722563.476906,707,199
1786722563.5246308,708,201
1786722563.5711443,707,202
1786722563.6125784,707,202
1786722563.6763306,707,202
1786722563.727097,706,202
1786722563.7655761,707,204
1786722563.8140967,707,204
1786722563.8758526,707,204
1786722563.924508,707,204
1786722563.973092,707,204
1786722564.0224285,707,205
1786722564.077294,707,207
1786722564.1254375,707,208
1786722564.1745303,707,208
1786722564.226357,707,207
1786722564.271725,707,208
1786722564.3272681,707,209
1786722564.3757782,707,212
1786722564.424142,707,214
1786722564.4762425,707,214
1786722564.521658,707,214
1786722564.5771875,707,214
1786722564.625812,707,215
1786722564.6777754,707,210
1786722564.7278423,707,215
1786722564.7777925,707,215
1786722564.8139572,707,215
1786722564.875823,706,215
1786722564.9178338,707,217
1786722564.975767,707,217
1786722565.015168,707,218
1786722565.0771396,707,218
1786722565.119504,707,219
1786722565.1781197,707,219
1786722565.2281845,707,219
1786722565.265337,707,218
1786722565.3282933,707,219
1786722565.3757157,707,220
1786722565.4236212,707,220
1786722565.4778116,707,220
1786722565.5277698,707,220
1786722565.5707583,707,220
1786722565.6278913,707,222
1786722565.6784947,707,222
1786722565.7234402,707,221
1786722565.7644699,707,222
1786722565.8206022,707,222
1786722565.8782585,707,221
1786722565.9248583,707,222
1786722565.9664593,707,221
1786722566.014467,707,222
1786722566.0787165,707,223
1786722566.1255066,707,222
1786722566.1678028,707,222
1786722566.2288811,707,223
1786722566.2786667,707,223
1786722566.3274608,707,223
1786722566.3782566,707,223
1786722566.4289622,707,223
1786722566.4739115,707,223
1786722566.514996,707,223
1786722566.5791852,707,223
1786722566.6261961,707,223
1786722566.6739852,707,223
1786722566.7289248,707,223
1786722566.7787974,707,223
1786722566.8294127,707,222
1786722566.8744023,707,223
1786722566.9294279,707,222
1786722566.9788845,707,223
1786722567.029457,707,222
1786722567.0794911,707,222
1786722567.129554,707,220
1786722567.1745088,707,219
1786722567.2153256,707,220
1786722567.2789035,707,219
1786722567.3194733,707,220
1786722567.3771956,707,220
1786722567.4295502,707,218
1786722567.4780781,707,219
1786722567.5298798,707,218
1786722567.579307,707,219
1786722567.6181216,708,218
1786722567.6794093,707,218
1786722567.7299833,707,216
1786722567.771623,707,217
1786722567.8293426,707,217
1786722567.8801277,707,215
1786722567.929451,707,215
1786722567.972381,708,215
1786722568.014713,707,215
1786722568.0789483,706,215
1786722568.125797,707,214
1786722568.1674116,707,214
1786722568.2303314,707,214
1786722568.2803097,707,214
1786722568.320232,708,207
1786722568.3805082,707,208
1786722568.430155,707,208
1786722568.480467,707,207
1786722568.5284934,707,206
1786722568.5782518,707,205
1786722568.630685,707,205
1786722568.674309,707,203
1786722568.715932,707,204
1786722568.7805543,707,205
1786722568.8302689,707,202
1786722568.8755164,707,202
1786722568.9230258,707,203
1786722568.9659202,707,202
1786722569.0278256,707,202
1786722569.0699778,707,201
1786722569.1309218,707,201
1786722569.1800203,707,200
1786722569.2298207,707,201
1786722569.2702568,707,201
1786722569.3269548,707,199
1786722569.3684886,707,200
1786722569.4310648,707,196
1786722569.4805586,706,198
1786722569.5275736,707,197
1786722569.5699449,706,198
1786722569.631122,707,196
1786722569.680821,707,196
1786722569.731246,707,196
1786722569.7814994,707,196
1786722569.8314044,707,194
1786722569.8685155,707,194
1786722569.9310107,707,194
1786722569.9716718,707,193
1786722570.0302737,707,193
1786722570.0817142,707,190
1786722570.1253073,707,188
1786722570.16702,707,193
1786722570.2318392,707,189
1786722570.2705781,707,188
1786722570.3318186,707,188
1786722570.3820903,707,186
1786722570.4318311,707,186
1786722570.4819822,707,187
1786722570.5320723,707,186
1786722570.579303,707,186
1786722570.6320748,707,185
1786722570.6821656,707,186
1786722570.7317934,707,186
1786722570.7778895,707,187
1786722570.828761,707,187
1786722570.8821936,707,186
1786722570.9322321,707,185
1786722570.9820566,707,185
1786722571.031934,707,186
